gender,age,income,ed,card,jobsat,union,polview
Female,59,118,18,American Express,Neutral,No,Conservative
Male,29,33,10,Visa,Somewhat satisfied,No,Moderate
Female,68,57,7,American Express,Highly dissatisfied,No,Conservative
Female,36,65,20,American Express,Highly dissatisfied,No,Moderate
Female,34,64,14,Mastercard,Somewhat dissatisfied,No,Liberal
Male,79,11,10,Mastercard,Somewhat satisfied,No,Slightly conservative
Female,49,38,13,Mastercard,Somewhat satisfied,No,Moderate
Male,18,13,13,Visa,Somewhat dissatisfied,No,Moderate
Female,20,24,15,Mastercard,Highly dissatisfied,No,Extremely liberal
Female,63,34,10,Visa,Highly satisfied,No,Moderate
Male,67,114,14,American Express,Somewhat dissatisfied,Yes,Conservative
Female,73,9,10,Other,Neutral,No,Conservative
Female,64,116,11,Discover,Highly satisfied,No,Moderate
Male,38,105,18,Discover,Highly satisfied,No,Slightly liberal
Female,26,18,18,American Express,Somewhat satisfied,No,Slightly liberal
Male,69,46,17,Visa,Highly satisfied,Yes,Slightly liberal
Male,34,52,19,Discover,Somewhat dissatisfied,Yes,Conservative
Male,43,62,15,Mastercard,Neutral,No,Moderate
Female,47,73,17,Discover,Highly satisfied,No,Slightly conservative
Female,32,27,17,Mastercard,Somewhat dissatisfied,No,Slightly conservative
Male,48,212,20,Discover,Highly satisfied,No,Conservative
Female,34,49,15,Visa,Neutral,No,Moderate
Female,33,48,19,Discover,Somewhat dissatisfied,No,Slightly conservative
Female,71,9,14,Visa,Somewhat satisfied,No,Slightly conservative
Male,47,111,19,American Express,Neutral,Yes,Liberal
Male,45,58,20,Discover,Somewhat dissatisfied,No,Conservative
Female,71,54,16,Discover,Somewhat satisfied,No,Slightly liberal
Female,41,55,11,American Express,Highly satisfied,Yes,Moderate
Female,65,29,15,Visa,Neutral,No,Slightly conservative
Male,76,9,22,Discover,Highly satisfied,No,Liberal
Male,67,39,16,Discover,Somewhat satisfied,No,Moderate
Male,63,10,13,Mastercard,Highly satisfied,No,Moderate
Female,53,25,8,Visa,Somewhat dissatisfied,No,Slightly liberal
Female,41,40,11,Visa,Somewhat dissatisfied,Yes,Moderate
Female,77,66,21,Visa,Neutral,No,Moderate
Female,43,58,16,Visa,Neutral,No,Extremely liberal
Female,66,109,17,Discover,Somewhat satisfied,No,Extremely conservative
Male,47,48,13,Mastercard,Somewhat satisfied,No,Conservative
Male,63,76,16,Mastercard,Somewhat satisfied,No,Moderate
Female,75,22,14,Visa,Neutral,Yes,Extremely conservative
Male,37,35,16,Mastercard,Somewhat satisfied,No,Moderate
Female,54,77,9,Mastercard,Neutral,No,Slightly liberal
Female,27,23,16,Discover,Highly dissatisfied,Yes,Moderate
Female,34,107,18,Discover,Highly dissatisfied,No,Moderate
Female,28,56,16,Discover,Somewhat satisfied,No,Conservative
Male,78,23,11,Mastercard,Somewhat satisfied,No,Conservative
Female,66,64,13,American Express,Neutral,No,Moderate
Male,68,89,16,Mastercard,Highly satisfied,No,Moderate
Male,23,60,18,Discover,Highly dissatisfied,No,Slightly conservative
Female,46,44,8,Mastercard,Neutral,No,Extremely conservative
Male,41,63,14,Other,Neutral,No,Slightly liberal
Male,49,150,19,American Express,Somewhat satisfied,No,Slightly conservative
Male,68,13,14,Discover,Somewhat dissatisfied,No,Conservative
Male,39,51,13,Mastercard,Somewhat satisfied,No,Extremely liberal
Female,23,39,17,Discover,Somewhat dissatisfied,No,Moderate
Female,57,31,15,Mastercard,Somewhat satisfied,No,Moderate
Male,20,13,12,Discover,Highly dissatisfied,No,Slightly conservative
Male,55,146,17,American Express,Highly satisfied,No,Moderate
Female,48,121,19,Discover,Highly satisfied,No,Slightly conservative
Female,51,31,18,Discover,Somewhat satisfied,No,Conservative
Female,27,44,18,Visa,Somewhat satisfied,No,Moderate
Female,76,10,14,Visa,Somewhat satisfied,No,Conservative
Female,30,27,20,American Express,Neutral,No,Moderate
Female,67,34,17,Mastercard,Neutral,No,Moderate
Female,42,92,16,Discover,Somewhat dissatisfied,No,Conservative
Male,24,25,14,Discover,Somewhat dissatisfied,No,Slightly conservative
Male,42,38,10,Discover,Neutral,No,Conservative
Male,67,95,13,Visa,Highly satisfied,No,Liberal
Female,40,63,17,American Express,Somewhat dissatisfied,No,Moderate
Male,62,32,11,Visa,Highly satisfied,Yes,Slightly conservative
Female,19,13,14,Other,Neutral,No,Conservative
Male,33,65,15,American Express,Highly satisfied,No,Slightly liberal
Male,47,148,15,Visa,Highly satisfied,Yes,Slightly conservative
Female,27,44,22,American Express,Somewhat dissatisfied,Yes,Conservative
Female,30,17,14,Visa,Neutral,No,Moderate
Male,47,72,9,Visa,Highly satisfied,No,Moderate
Female,71,53,14,Visa,Somewhat dissatisfied,No,Liberal
Female,48,186,14,Discover,Neutral,No,Conservative
Female,59,29,11,Mastercard,Somewhat satisfied,No,Slightly liberal
Male,41,93,19,Visa,Somewhat satisfied,No,Conservative
Female,36,60,18,Other,Highly dissatisfied,No,Moderate
Male,46,42,15,Other,Highly satisfied,No,Liberal
Male,38,85,15,Mastercard,Somewhat dissatisfied,No,Moderate
Female,77,49,19,Discover,Somewhat dissatisfied,Yes,Moderate
Male,23,26,15,Mastercard,Neutral,No,Moderate
Male,71,12,12,Other,Somewhat dissatisfied,No,Moderate
Female,68,411,15,Visa,Somewhat dissatisfied,Yes,Conservative
Male,68,80,12,Mastercard,Neutral,No,Moderate
Female,63,136,9,American Express,Somewhat satisfied,No,Slightly conservative
Male,69,91,13,Mastercard,Highly satisfied,Yes,Conservative
Male,45,81,18,American Express,Somewhat dissatisfied,No,Slightly conservative
Female,19,21,14,Mastercard,Somewhat dissatisfied,Yes,Moderate
Female,68,75,14,Mastercard,Somewhat satisfied,Yes,Slightly liberal
Female,65,73,22,Discover,Somewhat satisfied,No,Slightly liberal
Female,77,17,11,Mastercard,Somewhat dissatisfied,No,Extremely conservative
Female,52,41,12,Visa,Neutral,No,Moderate
Male,59,22,15,Visa,Highly dissatisfied,No,Moderate
Female,36,22,14,Other,Highly dissatisfied,No,Conservative
Male,33,28,15,Mastercard,Neutral,No,Slightly conservative
Female,34,27,15,American Express,Neutral,No,Moderate
Male,20,18,11,Other,Highly dissatisfied,No,Slightly conservative
Male,30,40,15,Discover,Somewhat satisfied,No,Conservative
Female,61,102,16,Discover,Highly satisfied,No,Slightly liberal
Female,36,53,12,Discover,Neutral,No,Conservative
Male,28,25,14,Mastercard,Highly dissatisfied,No,Conservative
Male,26,23,8,Other,Highly dissatisfied,No,Conservative
Male,36,33,16,Mastercard,Somewhat satisfied,No,Slightly conservative
Male,31,68,19,American Express,Somewhat satisfied,No,Liberal
Female,31,66,18,Discover,Highly dissatisfied,No,Slightly liberal
Female,55,49,15,Discover,Highly dissatisfied,No,Conservative
Female,66,34,11,Visa,Somewhat satisfied,No,Moderate
Male,47,111,16,Mastercard,Highly satisfied,No,Conservative
Male,61,56,13,American Express,Neutral,No,Slightly liberal
Female,74,19,8,Visa,Neutral,No,Moderate
Male,61,180,13,Visa,Highly satisfied,No,Conservative
Male,59,64,12,Visa,Neutral,No,Slightly liberal
Male,29,20,15,Mastercard,Highly dissatisfied,No,Liberal
Male,64,29,9,American Express,Neutral,No,Slightly liberal
Female,66,27,14,Visa,Somewhat dissatisfied,No,Conservative
Female,40,31,16,Mastercard,Neutral,No,Conservative
Male,43,32,16,Mastercard,Somewhat dissatisfied,No,Conservative
Female,75,68,20,Discover,Neutral,Yes,Conservative
Male,54,20,12,Mastercard,Somewhat satisfied,No,Slightly liberal
Female,40,29,12,Visa,Somewhat dissatisfied,No,Moderate
Male,18,17,13,Mastercard,Highly dissatisfied,Yes,Slightly conservative
Male,62,29,15,Discover,Highly satisfied,Yes,Liberal
Female,66,13,10,Discover,Somewhat dissatisfied,No,Extremely liberal
Female,70,21,20,Discover,Highly satisfied,No,Moderate
Female,18,24,11,Visa,Highly dissatisfied,Yes,Slightly liberal
Male,36,99,15,Mastercard,Neutral,No,Slightly conservative
Female,29,22,12,Visa,Highly dissatisfied,Yes,Slightly conservative
Male,58,242,12,American Express,Highly satisfied,No,Moderate
Male,51,52,16,Mastercard,Highly dissatisfied,No,Moderate
Female,31,34,13,Visa,Somewhat dissatisfied,Yes,Conservative
Female,68,9,15,Discover,Somewhat dissatisfied,No,Slightly liberal
Male,47,64,16,American Express,Somewhat dissatisfied,No,Moderate
Female,24,24,19,Visa,Highly dissatisfied,No,Slightly conservative
Male,72,11,9,American Express,Somewhat satisfied,No,Slightly conservative
Male,57,70,17,Visa,Highly satisfied,Yes,Moderate
Female,44,49,9,Visa,Neutral,No,Conservative
Male,31,24,11,Visa,Somewhat dissatisfied,Yes,Liberal
Male,20,19,10,Mastercard,Somewhat dissatisfied,Yes,Slightly conservative
Female,53,68,12,Discover,Somewhat satisfied,No,Conservative
Female,78,48,8,Other,Somewhat dissatisfied,No,Liberal
Male,25,49,20,American Express,Highly dissatisfied,No,Slightly conservative
Female,48,41,17,Mastercard,Neutral,No,Slightly conservative
Female,56,28,13,Other,Somewhat satisfied,No,Slightly conservative
Female,32,47,19,American Express,Somewhat satisfied,No,Moderate
Female,31,37,13,American Express,Highly dissatisfied,No,Conservative
Female,21,20,14,Mastercard,Highly dissatisfied,Yes,Slightly conservative
Female,19,14,13,Other,Highly dissatisfied,No,Slightly liberal
Female,36,73,15,Other,Somewhat dissatisfied,No,Conservative
Male,36,43,17,American Express,Somewhat dissatisfied,No,Liberal
Male,49,19,12,Visa,Highly dissatisfied,No,Conservative
Female,32,34,16,American Express,Highly dissatisfied,No,Slightly conservative
Female,30,36,17,Discover,Highly dissatisfied,No,Moderate
Male,39,119,22,Discover,Somewhat dissatisfied,No,Slightly conservative
Male,35,98,20,Discover,Highly dissatisfied,No,Liberal
Male,57,62,12,Discover,Somewhat satisfied,No,Slightly conservative
Male,21,21,16,Discover,Highly dissatisfied,No,Slightly conservative
Female,47,32,15,Visa,Somewhat dissatisfied,No,Moderate
Male,66,35,21,American Express,Somewhat satisfied,No,Conservative
Female,48,51,21,American Express,Somewhat satisfied,Yes,Liberal
Female,44,62,11,Discover,Somewhat dissatisfied,Yes,Moderate
Female,63,69,19,Discover,Somewhat satisfied,No,Slightly conservative
Female,24,25,15,Discover,Highly dissatisfied,No,Slightly liberal
Male,28,29,13,American Express,Neutral,No,Slightly conservative
Female,23,24,8,Visa,Somewhat satisfied,No,Conservative
Female,29,43,16,Discover,Highly dissatisfied,No,Moderate
Female,50,80,15,American Express,Somewhat satisfied,No,Conservative
Female,52,65,14,Discover,Highly satisfied,No,Moderate
Female,43,43,9,Visa,Somewhat satisfied,No,Moderate
Male,49,32,11,Visa,Neutral,No,Slightly conservative
Female,43,60,17,Discover,Somewhat satisfied,No,Liberal
Female,70,87,10,Visa,Highly dissatisfied,No,Slightly liberal
Male,24,58,17,Discover,Highly dissatisfied,No,Moderate
Female,66,43,14,Other,Highly satisfied,Yes,Moderate
Female,20,20,14,Visa,Neutral,No,Moderate
Female,31,30,11,Mastercard,Somewhat dissatisfied,No,Liberal
Male,53,35,14,Mastercard,Highly dissatisfied,No,Moderate
Female,34,111,17,Discover,Highly satisfied,No,Moderate
Female,34,26,14,Visa,Somewhat satisfied,No,Moderate
Female,27,30,10,American Express,Neutral,No,Liberal
Female,60,12,14,American Express,Somewhat satisfied,No,Moderate
Female,43,44,13,Visa,Highly satisfied,No,Moderate
Female,31,30,11,Mastercard,Somewhat dissatisfied,No,Moderate
Male,70,61,20,Mastercard,Somewhat satisfied,No,Conservative
Male,61,12,17,American Express,Somewhat satisfied,No,Moderate
Male,45,134,20,Mastercard,Highly satisfied,No,Conservative
Male,40,46,20,Mastercard,Somewhat dissatisfied,Yes,Liberal
Female,68,11,19,Visa,Highly satisfied,No,Liberal
Male,74,11,11,Discover,Highly satisfied,No,Moderate
Female,54,33,12,Visa,Neutral,No,Conservative
Male,27,19,20,Discover,Highly dissatisfied,No,Liberal
Male,65,10,15,American Express,Highly dissatisfied,No,Conservative
Female,54,58,18,Visa,Somewhat satisfied,No,Liberal
Female,28,40,10,Other,Highly dissatisfied,No,Conservative
Female,45,47,20,Discover,Somewhat dissatisfied,No,Extremely conservative
Female,36,48,12,Visa,Highly satisfied,No,Slightly liberal
Male,58,1073,19,Discover,Somewhat satisfied,No,Conservative
Male,65,11,13,American Express,Neutral,No,Moderate
Male,18,28,13,Discover,Highly dissatisfied,No,Moderate
Female,74,35,13,Mastercard,Somewhat satisfied,No,Moderate
Female,20,28,15,American Express,Highly dissatisfied,Yes,Conservative
Male,70,32,8,Mastercard,Neutral,No,Moderate
Female,42,44,15,Discover,Highly dissatisfied,No,Slightly liberal
Female,21,16,13,Visa,Highly dissatisfied,No,Conservative
Male,74,39,12,Mastercard,Highly satisfied,No,Moderate
Male,69,115,16,Discover,Somewhat dissatisfied,No,Moderate
Male,45,47,12,Mastercard,Highly dissatisfied,No,Slightly liberal
Male,58,31,12,American Express,Neutral,No,Moderate
Female,75,35,9,Other,Highly satisfied,No,Conservative
Male,66,38,14,American Express,Neutral,No,Liberal
Female,18,16,13,Discover,Highly dissatisfied,No,Conservative
Male,66,80,10,Discover,Neutral,No,Slightly conservative
Male,32,53,18,Visa,Highly dissatisfied,No,Extremely liberal
Male,76,9,15,Mastercard,Highly satisfied,No,Moderate
Female,43,49,12,Mastercard,Somewhat satisfied,No,Liberal
Female,44,54,12,Mastercard,Neutral,No,Slightly conservative
Male,18,14,13,Visa,Highly dissatisfied,No,Slightly liberal
Male,76,42,13,Discover,Somewhat satisfied,No,Conservative
Male,48,25,16,Mastercard,Neutral,No,Conservative
Male,35,36,12,Mastercard,Somewhat dissatisfied,No,Moderate
Male,30,30,12,American Express,Highly dissatisfied,Yes,Liberal
Male,32,37,18,American Express,Somewhat satisfied,No,Moderate
Female,64,30,10,Visa,Neutral,Yes,Moderate
Male,53,53,11,Discover,Somewhat satisfied,No,Slightly conservative
Male,61,49,13,Visa,Neutral,Yes,Liberal
Female,30,30,15,Discover,Neutral,No,Slightly liberal
Male,25,26,13,Mastercard,Somewhat dissatisfied,No,Moderate
Female,24,24,12,Visa,Highly dissatisfied,No,Moderate
Female,78,23,15,Mastercard,Neutral,No,Moderate
Male,44,50,16,American Express,Somewhat dissatisfied,Yes,Conservative
Male,26,41,12,Mastercard,Neutral,Yes,Slightly conservative
Male,19,18,11,Discover,Highly dissatisfied,No,Conservative
Female,35,51,17,Visa,Highly dissatisfied,No,Slightly conservative
Female,53,51,12,Discover,Neutral,No,Moderate
Female,37,37,13,Mastercard,Somewhat dissatisfied,No,Slightly conservative
Male,36,29,15,Mastercard,Highly satisfied,No,Liberal
Male,69,68,19,Visa,Neutral,No,Liberal
Male,78,10,12,Mastercard,Highly satisfied,No,Moderate
Female,54,109,13,American Express,Highly satisfied,No,Slightly conservative
Female,64,158,19,Mastercard,Somewhat satisfied,Yes,Moderate
Female,40,47,14,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Female,73,259,19,Discover,Highly satisfied,No,Extremely liberal
Male,45,52,14,Mastercard,Highly satisfied,No,Slightly conservative
Female,74,22,12,Mastercard,Somewhat satisfied,No,Moderate
Male,34,41,11,Mastercard,Highly dissatisfied,No,Moderate
Male,55,22,9,Discover,Neutral,No,Slightly conservative
Male,65,224,14,American Express,Highly satisfied,No,Liberal
Male,60,34,14,Visa,Neutral,No,Slightly conservative
Male,50,103,18,Discover,Neutral,No,Slightly conservative
Female,25,30,15,Visa,Highly dissatisfied,No,Moderate
Male,54,37,11,Visa,Somewhat satisfied,No,Moderate
Female,32,27,18,American Express,Somewhat dissatisfied,No,Moderate
Male,24,16,14,American Express,Somewhat dissatisfied,No,Liberal
Male,55,26,11,Discover,Highly dissatisfied,No,Moderate
Female,43,89,16,Mastercard,Highly satisfied,No,Slightly conservative
Male,20,28,15,American Express,Somewhat dissatisfied,No,Slightly liberal
Male,66,56,9,Discover,Somewhat dissatisfied,No,Moderate
Male,23,25,15,Mastercard,Neutral,Yes,Moderate
Male,69,40,13,Discover,Somewhat satisfied,No,Slightly conservative
Male,37,29,20,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Male,29,48,17,Discover,Highly dissatisfied,No,Moderate
Female,53,67,20,American Express,Somewhat satisfied,Yes,Liberal
Female,57,77,19,Discover,Neutral,No,Slightly conservative
Female,68,93,9,Mastercard,Neutral,No,Conservative
Male,46,26,9,Mastercard,Highly dissatisfied,No,Slightly liberal
Female,73,20,11,Other,Somewhat dissatisfied,No,Moderate
Female,35,87,13,Discover,Somewhat satisfied,No,Slightly conservative
Male,21,14,12,Discover,Highly dissatisfied,No,Slightly conservative
Male,27,44,19,Discover,Somewhat dissatisfied,No,Moderate
Female,79,18,10,Visa,Neutral,No,Extremely liberal
Female,18,17,13,American Express,Somewhat dissatisfied,No,Liberal
Male,40,29,15,American Express,Somewhat satisfied,Yes,Conservative
Male,78,76,14,American Express,Neutral,No,Moderate
Female,51,84,12,Discover,Somewhat satisfied,Yes,Conservative
Female,58,21,17,Discover,Highly satisfied,No,Conservative
Female,49,67,10,Other,Somewhat dissatisfied,No,Moderate
Female,56,122,19,Discover,Somewhat dissatisfied,No,Moderate
Female,72,27,14,Discover,Somewhat satisfied,No,Slightly conservative
Female,40,46,14,Discover,Somewhat dissatisfied,No,Moderate
Male,57,78,12,American Express,Somewhat satisfied,No,Moderate
Female,34,30,20,American Express,Somewhat dissatisfied,No,Liberal
Male,20,33,15,Visa,Somewhat dissatisfied,No,Liberal
Female,63,179,14,Discover,Neutral,Yes,Conservative
Male,48,80,14,Mastercard,Highly satisfied,No,Moderate
Male,18,17,13,Visa,Highly dissatisfied,No,Moderate
Female,23,18,14,Mastercard,Highly dissatisfied,No,Slightly conservative
Female,54,280,18,Discover,Highly satisfied,No,Slightly conservative
Male,64,42,21,American Express,Highly satisfied,No,Liberal
Male,56,32,17,Mastercard,Highly satisfied,No,Moderate
Male,68,45,16,Visa,Neutral,No,Slightly conservative
Male,66,13,20,Discover,Neutral,No,Moderate
Female,49,55,11,Mastercard,Somewhat dissatisfied,No,Moderate
Female,37,20,17,Discover,Somewhat dissatisfied,No,Moderate
Female,24,33,13,Visa,Somewhat dissatisfied,No,Slightly liberal
Male,56,59,10,Visa,Somewhat dissatisfied,No,Slightly conservative
Female,71,12,13,Discover,Highly satisfied,No,Conservative
Female,52,58,15,Discover,Somewhat satisfied,No,Moderate
Female,72,84,15,Discover,Neutral,No,Slightly conservative
Female,44,62,12,Discover,Neutral,No,Moderate
Female,61,27,8,Discover,Somewhat satisfied,No,Moderate
Female,36,63,15,Visa,Neutral,No,Slightly liberal
Male,31,56,18,American Express,Neutral,No,Slightly liberal
Female,57,202,10,American Express,Highly satisfied,Yes,Conservative
Male,33,29,13,Visa,Neutral,No,Moderate
Male,25,35,13,Mastercard,Somewhat dissatisfied,No,Conservative
Female,44,29,10,Discover,Somewhat satisfied,No,Slightly conservative
Male,49,138,16,Mastercard,Highly satisfied,No,Slightly conservative
Male,57,145,17,American Express,Highly satisfied,No,Conservative
Male,21,21,16,Visa,Somewhat dissatisfied,No,Slightly conservative
Female,27,17,11,Visa,Neutral,No,Extremely liberal
Female,23,14,16,Discover,Highly satisfied,No,Conservative
Female,67,10,11,Mastercard,Highly satisfied,No,Slightly conservative
Male,67,24,11,Discover,Somewhat dissatisfied,No,Conservative
Male,30,127,22,Mastercard,Highly dissatisfied,No,Moderate
Male,61,22,17,Mastercard,Somewhat satisfied,No,Moderate
Female,46,27,12,Visa,Highly dissatisfied,No,Conservative
Male,36,71,11,American Express,Somewhat dissatisfied,No,Slightly liberal
Female,53,130,9,Discover,Somewhat satisfied,No,Slightly conservative
Male,21,20,16,American Express,Highly dissatisfied,No,Moderate
Female,37,56,12,Mastercard,Neutral,No,Moderate
Female,26,48,17,Discover,Neutral,Yes,Liberal
Female,55,60,12,Visa,Highly satisfied,No,Moderate
Female,22,19,17,American Express,Somewhat dissatisfied,No,Moderate
Female,42,72,14,Mastercard,Highly satisfied,No,Conservative
Male,48,56,9,Mastercard,Somewhat satisfied,No,Moderate
Female,34,58,16,Visa,Somewhat satisfied,No,Conservative
Male,60,106,8,Mastercard,Highly satisfied,No,Conservative
Male,23,22,18,Discover,Somewhat dissatisfied,No,Moderate
Female,27,21,11,Visa,Neutral,No,Slightly conservative
Female,43,41,14,American Express,Highly satisfied,No,Extremely liberal
Female,46,45,11,Mastercard,Somewhat satisfied,No,Slightly liberal
Female,75,346,11,American Express,Neutral,Yes,Slightly conservative
Female,43,34,15,Visa,Somewhat dissatisfied,Yes,Slightly liberal
Female,61,68,16,Visa,Somewhat satisfied,No,Moderate
Female,35,25,17,American Express,Highly satisfied,No,Moderate
Female,48,25,19,Mastercard,Somewhat satisfied,No,Conservative
Male,79,19,16,American Express,Neutral,Yes,Slightly liberal
Male,35,44,13,Discover,Somewhat satisfied,Yes,Extremely conservative
Male,53,81,15,Mastercard,Somewhat satisfied,No,Moderate
Male,55,48,20,Discover,Highly satisfied,No,Moderate
Female,35,39,15,Mastercard,Highly satisfied,No,Slightly conservative
Female,37,19,8,Other,Highly dissatisfied,No,Liberal
Female,70,16,15,Discover,Highly satisfied,No,Slightly liberal
Male,63,68,19,Discover,Highly satisfied,No,Conservative
Female,58,35,13,American Express,Highly dissatisfied,No,Slightly conservative
Female,74,38,17,Mastercard,Highly satisfied,No,Slightly liberal
Female,34,29,16,Visa,Somewhat satisfied,No,Liberal
Male,54,113,18,Mastercard,Somewhat satisfied,No,Moderate
Male,71,37,15,American Express,Somewhat dissatisfied,Yes,Slightly liberal
Male,71,34,14,Mastercard,Somewhat satisfied,No,Moderate
Male,69,46,18,Discover,Highly satisfied,No,Liberal
Male,29,32,13,American Express,Highly dissatisfied,No,Conservative
Female,51,36,12,Discover,Somewhat dissatisfied,No,Conservative
Female,69,73,18,American Express,Highly satisfied,Yes,Moderate
Male,21,20,10,Other,Neutral,No,Moderate
Male,55,55,18,Discover,Neutral,No,Moderate
Male,51,187,14,American Express,Somewhat satisfied,No,Moderate
Male,64,32,19,Mastercard,Somewhat satisfied,No,Conservative
Female,33,28,11,Mastercard,Somewhat satisfied,No,Liberal
Female,24,16,12,American Express,Highly dissatisfied,No,Extremely liberal
Male,49,146,14,Mastercard,Somewhat dissatisfied,No,Moderate
Male,33,30,11,Other,Highly dissatisfied,No,Conservative
Female,56,45,15,American Express,Highly satisfied,No,Moderate
Male,45,56,14,American Express,Somewhat dissatisfied,No,Slightly conservative
Female,35,60,19,Visa,Neutral,No,Liberal
Female,19,18,10,Other,Highly dissatisfied,No,Liberal
Female,54,24,10,Visa,Neutral,No,Conservative
Male,25,26,19,Mastercard,Highly dissatisfied,Yes,Moderate
Female,61,55,10,Visa,Highly satisfied,No,Slightly liberal
Female,33,33,18,Visa,Highly dissatisfied,No,Conservative
Female,27,78,14,Discover,Somewhat dissatisfied,Yes,Moderate
Male,18,20,13,Visa,Highly dissatisfied,No,Slightly conservative
Male,22,19,14,Visa,Somewhat satisfied,No,Moderate
Male,22,25,17,American Express,Neutral,Yes,Liberal
Male,24,47,14,Discover,Somewhat dissatisfied,No,Slightly conservative
Male,77,9,8,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Female,18,14,13,American Express,Highly dissatisfied,No,Moderate
Male,44,60,17,Discover,Highly satisfied,No,Slightly conservative
Female,42,21,15,Mastercard,Neutral,No,Moderate
Female,39,54,17,Discover,Somewhat satisfied,Yes,Slightly liberal
Female,24,32,14,Visa,Highly dissatisfied,Yes,Extremely liberal
Female,74,12,13,Other,Somewhat satisfied,No,Extremely liberal
Male,39,67,18,Discover,Highly dissatisfied,No,Extremely liberal
Male,25,19,17,Visa,Highly dissatisfied,No,Liberal
Male,42,40,18,Mastercard,Somewhat dissatisfied,No,Slightly conservative
Male,32,21,22,American Express,Neutral,No,Slightly liberal
Male,76,179,20,Discover,Highly satisfied,Yes,Moderate
Female,28,17,8,Visa,Neutral,No,Slightly conservative
Male,31,21,15,American Express,Somewhat dissatisfied,No,Liberal
Male,28,28,13,Discover,Highly satisfied,No,Moderate
Male,31,28,14,Mastercard,Highly satisfied,No,Moderate
Male,56,170,16,Discover,Highly satisfied,No,Slightly liberal
Female,61,129,12,Discover,Highly satisfied,No,Extremely liberal
Male,46,29,16,Mastercard,Highly dissatisfied,No,Conservative
Female,18,28,13,Visa,Highly dissatisfied,No,Slightly conservative
Male,48,46,14,Mastercard,Neutral,No,Liberal
Female,28,77,21,Discover,Highly dissatisfied,No,Slightly conservative
Female,28,70,18,Mastercard,Neutral,No,Moderate
Female,50,31,12,Visa,Highly dissatisfied,Yes,Moderate
Female,66,48,8,Visa,Somewhat satisfied,No,Conservative
Male,43,30,15,Mastercard,Highly satisfied,No,Liberal
Female,79,98,12,American Express,Highly satisfied,No,Slightly liberal
Female,44,57,18,Discover,Highly dissatisfied,No,Slightly liberal
Male,71,137,12,Discover,Somewhat dissatisfied,Yes,Conservative
Female,31,56,19,Discover,Neutral,No,Moderate
Male,60,142,15,Visa,Neutral,No,Conservative
Male,24,20,8,Visa,Somewhat dissatisfied,No,Liberal
Male,23,15,12,American Express,Highly dissatisfied,No,Conservative
Female,70,49,16,Visa,Highly satisfied,Yes,Slightly liberal
Male,29,32,17,Visa,Somewhat dissatisfied,Yes,Slightly conservative
Female,18,22,13,Discover,Somewhat dissatisfied,No,Conservative
Male,53,74,11,Visa,Somewhat satisfied,No,Conservative
Male,39,38,17,American Express,Neutral,No,Conservative
Female,62,47,13,Visa,Somewhat satisfied,No,Extremely liberal
Male,55,112,18,Mastercard,Somewhat satisfied,No,Moderate
Female,78,19,8,Visa,Neutral,No,Conservative
Female,34,29,10,Mastercard,Somewhat dissatisfied,No,Moderate
Male,78,12,8,Visa,Highly satisfied,No,Slightly conservative
Male,21,21,16,American Express,Highly dissatisfied,Yes,Slightly liberal
Male,24,18,17,American Express,Highly dissatisfied,No,Slightly conservative
Female,21,31,16,Discover,Highly dissatisfied,No,Slightly liberal
Male,42,79,17,Discover,Highly dissatisfied,No,Conservative
Female,38,113,16,Visa,Highly satisfied,No,Moderate
Male,62,160,12,American Express,Somewhat satisfied,Yes,Moderate
Male,53,83,12,American Express,Neutral,No,Moderate
Female,63,14,17,Visa,Neutral,No,Slightly conservative
Male,54,97,15,American Express,Neutral,No,Conservative
Female,59,46,13,Visa,Neutral,No,Liberal
Male,57,111,15,Discover,Highly dissatisfied,Yes,Extremely conservative
Male,68,37,16,American Express,Somewhat dissatisfied,No,Conservative
Male,26,43,17,American Express,Highly dissatisfied,Yes,Slightly conservative
Female,46,33,14,American Express,Somewhat satisfied,No,Slightly liberal
Female,37,102,18,Discover,Highly dissatisfied,No,Conservative
Female,42,42,11,Visa,Highly dissatisfied,No,Slightly liberal
Male,48,92,14,Discover,Somewhat satisfied,No,Liberal
Male,27,33,13,Visa,Somewhat dissatisfied,No,Conservative
Female,28,27,11,Mastercard,Neutral,No,Slightly conservative
Female,48,23,16,Visa,Somewhat satisfied,No,Slightly liberal
Female,40,27,11,Other,Neutral,No,Moderate
Male,56,32,10,Visa,Neutral,No,Moderate
Male,60,44,9,Visa,Neutral,Yes,Conservative
Female,61,42,21,Discover,Neutral,No,Moderate
Male,34,50,16,American Express,Neutral,No,Slightly conservative
Female,75,15,11,Visa,Somewhat satisfied,Yes,Liberal
Female,25,22,13,Mastercard,Neutral,No,Slightly liberal
Female,31,40,14,American Express,Neutral,No,Slightly liberal
Female,40,71,12,Mastercard,Neutral,No,Moderate
Male,66,88,10,American Express,Somewhat dissatisfied,No,Conservative
Male,31,23,16,American Express,Somewhat satisfied,No,Liberal
Female,21,29,16,Other,Highly dissatisfied,No,Slightly conservative
Female,67,11,11,Visa,Neutral,No,Liberal
Male,30,23,19,Visa,Highly dissatisfied,No,Moderate
